station_id,connector_id,connector_name,prep_start,prep_end,duration_seconds,outcome
CPMADRI001,1,Tipo 2,2026-07-03 00:20:57.275755+00:00,2026-07-03 00:26:03.057525+00:00,305.8,failed
CPMADRI001,1,Tipo 2,2026-07-05 22:20:55.566937+00:00,2026-07-05 22:25:32.179731+00:00,276.6,failed
CPONENG30,1,CCS 2,2026-07-06 19:01:07.003220+00:00,2026-07-06 19:10:54.702406+00:00,587.7,failed
CPZON22,2,CCS 2,,2026-07-07 00:30:59.553272+00:00,,failed
CPMADRI001,2,CCS 2,2026-07-07 14:20:57.486963+00:00,2026-07-07 14:31:07.649638+00:00,610.2,failed
CPZON22,2,CCS 2,2026-07-09 16:30:54.710533+00:00,2026-07-09 16:35:36.368451+00:00,281.7,failed
1125951818,1,Tipo 2,2026-07-10 18:45:41.395031+00:00,2026-07-10 18:50:49.958570+00:00,308.6,failed
CPZON22,1,CCS 2,2026-07-12T18:30:58.681435+00:00,2026-07-12T18:35:37.976538+00:00,279.3,failed
CPONENG30,2,CCS 2,2026-07-16T19:30:48.969259+00:00,2026-07-16T19:50:42.260486+00:00,1193.3,failed
CPMADRI001,2,CCS 2,2026-07-17T02:40:42.658114+00:00,2026-07-17T02:45:38.078521+00:00,295.4,failed
